"filename", "language", "JSON", "Ini", "JavaScript", "PHP", "CSS", "HTML", "Log", "Markdown", "comment", "blank", "total"
"c:\Webapp\ServiceDeliveryNetwork\Dummy\CSRF\config.ini", "Ini", 0, 6, 0, 0, 0, 0, 0, 0, 2, 2, 10
"c:\Webapp\ServiceDeliveryNetwork\Dummy\CSRF\dbconn.php", "PHP", 0, 0, 0, 96, 0, 0, 0, 0, 0, 25, 121
"c:\Webapp\ServiceDeliveryNetwork\Dummy\CSRF\dbfunc.php", "PHP", 0, 0, 0, 60, 0, 0, 0, 0, 0, 20, 80
"c:\Webapp\ServiceDeliveryNetwork\Dummy\CSRF\page-register.php", "PHP", 0, 0, 0, 479, 0, 0, 0, 0, 0, 57, 536
"c:\Webapp\ServiceDeliveryNetwork\Dummy\CSRF\session.php", "PHP", 0, 0, 0, 21, 0, 0, 0, 0, 15, 10, 46
"c:\Webapp\ServiceDeliveryNetwork\Dummy\CSRF\skgen.php", "PHP", 0, 0, 0, 16, 0, 0, 0, 0, 4, 7, 27
"c:\Webapp\ServiceDeliveryNetwork\Dummy\EmailVerification.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 167, 0, 64, 231
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\SECURITY.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 19, 0, 19, 38
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\composer.json", "JSON", 78, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\get_oauth_token.php", "PHP", 0, 0, 0, 117, 0, 0, 0, 0, 48, 18, 183
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-af.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 4, 3, 27
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-ar.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 5, 3, 28
